Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.700000000000000400e-01,4.619054870311151834e-02,1.025921687646151603e-01,4.434100000000000000e+04,1.499999999999999944e-02,1.800000000000000000e+01,6.000000000000000000e+01,3.333333333333333481e+00
6.500000000000000222e-01,5.415968732551647291e-02,1.089108910891089105e-01,5.382000000000000000e+04,1.499999999999999944e-02,1.600000000000000000e+01,4.800000000000000000e+01,3.000000000000000000e+00
6.700000000000000400e-01,4.568296025582457842e-02,1.030399522364296716e-01,4.548700000000000000e+04,1.499999999999999944e-02,1.600000000000000000e+01,6.200000000000000000e+01,3.875000000000000000e+00
6.700000000000000400e-01,8.852342520684229610e-02,1.531419473605651893e-01,1.179850000000000000e+05,1.499999999999999944e-02,2.400000000000000000e+01,3.400000000000000000e+01,1.416666666666666741e+00
7.399999999999999911e-01,5.177402162326785739e-02,1.223941489626349521e-01,7.952800000000000000e+04,2.500000000000000139e-02,2.000000000000000000e+01,4.700000000000000000e+01,2.350000000000000089e+00
6.999999999999999556e-01,3.314552560783716462e-02,9.497984974376834366e-02,3.087700000000000000e+04,4.499999999999999833e-02,1.400000000000000000e+01,6.600000000000000000e+01,4.714285714285714413e+00
6.400000000000000133e-01,5.014973859194964828e-02,1.058261605054977850e-01,4.705000000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,5.200000000000000000e+01,3.058823529411764497e+00
6.500000000000000222e-01,4.745951982132886465e-02,1.038360117418777040e-01,4.578100000000000000e+04,4.000000000000000083e-02,1.700000000000000000e+01,5.300000000000000000e+01,3.117647058823529438e+00
7.099999999999999645e-01,5.344906349931475426e-02,1.228419324344494773e-01,8.222700000000000000e+04,2.000000000000000042e-02,1.900000000000000000e+01,4.500000000000000000e+01,2.368421052631578760e+00
6.800000000000000488e-01,3.695243896248921051e-02,9.776605801283645703e-02,3.034500000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,5.600000000000000000e+01,3.294117647058823373e+00
5.999999999999999778e-01,4.101314654078472982e-02,9.756704313647444893e-02,3.673600000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,6.300000000000000000e+01,3.937500000000000000e+00
6.300000000000000044e-01,5.583472920156336977e-02,1.104532563809144802e-01,5.715100000000000000e+04,2.999999999999999889e-02,1.900000000000000000e+01,5.800000000000000000e+01,3.052631578947368585e+00
5.999999999999999778e-01,3.334856098675194336e-02,9.567640181103537200e-02,2.871000000000000000e+04,2.000000000000000042e-02,1.500000000000000000e+01,5.900000000000000000e+01,3.933333333333333126e+00
6.800000000000000488e-01,4.035328155931171279e-02,9.786556545101746107e-02,4.303700000000000000e+04,2.000000000000000042e-02,1.600000000000000000e+01,6.100000000000000000e+01,3.812500000000000000e+00
6.600000000000000311e-01,3.669864473884574402e-02,9.642270759739290931e-02,3.287700000000000000e+04,5.000000000000000104e-03,1.600000000000000000e+01,5.800000000000000000e+01,3.625000000000000000e+00
6.800000000000000488e-01,4.796710826861580457e-02,1.010498034728095906e-01,4.215900000000000000e+04,1.000000000000000021e-02,1.800000000000000000e+01,5.500000000000000000e+01,3.055555555555555358e+00
6.500000000000000222e-01,4.674889599512715294e-02,1.026419224837056554e-01,4.497800000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,5.500000000000000000e+01,3.235294117647058876e+00
6.500000000000000222e-01,4.979442667884879242e-02,1.040350266182397121e-01,5.016700000000000000e+04,2.500000000000000139e-02,1.700000000000000000e+01,6.400000000000000000e+01,3.764705882352941124e+00
6.600000000000000311e-01,4.319577686411857353e-02,9.950743818100403482e-02,3.668100000000000000e+04,5.000000000000000104e-03,1.800000000000000000e+01,6.000000000000000000e+01,3.333333333333333481e+00
6.700000000000000400e-01,2.979544185574336396e-02,9.577590924921637605e-02,2.948600000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,7.900000000000000000e+01,4.647058823529412130e+00
7.099999999999999645e-01,4.141921729861428036e-02,9.741778197920294979e-02,3.667400000000000000e+04,5.000000000000000104e-03,1.500000000000000000e+01,6.600000000000000000e+01,4.400000000000000355e+00
6.600000000000000311e-01,4.847469671590274448e-02,1.042340414946017202e-01,4.282800000000000000e+04,5.000000000000000104e-03,1.800000000000000000e+01,6.000000000000000000e+01,3.333333333333333481e+00
6.600000000000000311e-01,5.400741079133038886e-02,1.081148315836608781e-01,5.456700000000000000e+04,1.000000000000000021e-02,1.900000000000000000e+01,5.300000000000000000e+01,2.789473684210526105e+00
6.300000000000000044e-01,4.766255520024364339e-02,1.050798547191402615e-01,4.497500000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,6.100000000000000000e+01,3.588235294117647189e+00
6.899999999999999467e-01,4.218059996954469371e-02,9.990546793372805101e-02,4.652900000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,7.800000000000000000e+01,4.588235294117646745e+00
6.600000000000000311e-01,3.847520430435003025e-02,9.582566296830688501e-02,3.823400000000000000e+04,0.000000000000000000e+00,1.500000000000000000e+01,5.800000000000000000e+01,3.866666666666666696e+00
7.099999999999999645e-01,3.898279275163697016e-02,9.687049106920742059e-02,3.354500000000000000e+04,1.499999999999999944e-02,1.500000000000000000e+01,6.200000000000000000e+01,4.133333333333333748e+00
6.500000000000000222e-01,4.933759707629054025e-02,1.056768993482262858e-01,4.106800000000000000e+04,1.000000000000000021e-02,1.800000000000000000e+01,5.200000000000000000e+01,2.888888888888888840e+00
6.700000000000000400e-01,3.685092127303182807e-02,9.448231255286332342e-02,3.587000000000000000e+04,2.000000000000000042e-02,1.400000000000000000e+01,6.000000000000000000e+01,4.285714285714285587e+00
6.999999999999999556e-01,4.482005989543678265e-02,1.010995571919000996e-01,3.785400000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,5.800000000000000000e+01,3.625000000000000000e+00
6.700000000000000400e-01,4.131769960915689793e-02,1.010498034728095906e-01,3.905700000000000000e+04,0.000000000000000000e+00,1.600000000000000000e+01,6.200000000000000000e+01,3.875000000000000000e+00
6.600000000000000311e-01,3.974417542256738350e-02,9.766655057465545298e-02,3.143200000000000000e+04,2.000000000000000042e-02,1.500000000000000000e+01,6.100000000000000000e+01,4.066666666666666430e+00
6.400000000000000133e-01,4.009948733566823936e-02,9.771630429374596194e-02,3.338600000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,7.100000000000000000e+01,4.437500000000000000e+00
6.300000000000000044e-01,2.888178265062687003e-02,9.005423155380865019e-02,2.682100000000000000e+04,2.000000000000000042e-02,1.300000000000000000e+01,7.900000000000000000e+01,6.076923076923076650e+00
6.800000000000000488e-01,3.791685701233440259e-02,9.517886462013035176e-02,3.264800000000000000e+04,1.000000000000000021e-02,1.400000000000000000e+01,6.400000000000000000e+01,4.571428571428571175e+00
6.999999999999999556e-01,3.943962235419521539e-02,9.905965470918950966e-02,3.606300000000000000e+04,1.000000000000000021e-02,1.600000000000000000e+01,5.900000000000000000e+01,3.687500000000000000e+00
6.099999999999999867e-01,5.101263895233744405e-02,1.073685257973033547e-01,4.952800000000000000e+04,2.000000000000000042e-02,1.700000000000000000e+01,5.800000000000000000e+01,3.411764705882352811e+00
6.800000000000000488e-01,5.776356530125374006e-02,1.101049803472809591e-01,5.592600000000000000e+04,1.000000000000000021e-02,2.100000000000000000e+01,5.400000000000000000e+01,2.571428571428571619e+00
6.500000000000000222e-01,4.695193137404192474e-02,1.054281307527737688e-01,3.948900000000000000e+04,3.500000000000000333e-02,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.800000000000000488e-01,4.710420790822800879e-02,1.042340414946017202e-01,3.860400000000000000e+04,2.000000000000000042e-02,1.600000000000000000e+01,5.400000000000000000e+01,3.375000000000000000e+00
6.500000000000000222e-01,3.461753210496928967e-02,9.398477536195830317e-02,3.118000000000000000e+04,1.499999999999999944e-02,1.400000000000000000e+01,6.400000000000000000e+01,4.571428571428571175e+00
6.099999999999999867e-01,4.568296025582457842e-02,1.029404447982486676e-01,4.414700000000000000e+04,2.000000000000000042e-02,1.500000000000000000e+01,6.900000000000000000e+01,4.599999999999999645e+00
6.600000000000000311e-01,3.228262524744936884e-02,9.592517040648788906e-02,3.041400000000000000e+04,1.499999999999999944e-02,1.300000000000000000e+01,6.800000000000000000e+01,5.230769230769230838e+00
6.800000000000000488e-01,4.035328155931171279e-02,9.756704313647444893e-02,3.774100000000000000e+04,2.000000000000000042e-02,1.400000000000000000e+01,6.800000000000000000e+01,4.857142857142856762e+00
6.500000000000000222e-01,5.177402162326785739e-02,1.046818249664162453e-01,4.770800000000000000e+04,1.499999999999999944e-02,1.900000000000000000e+01,5.200000000000000000e+01,2.736842105263157965e+00
6.999999999999999556e-01,4.111466423024211919e-02,9.925866958555151776e-02,3.275600000000000000e+04,5.000000000000000104e-03,1.500000000000000000e+01,5.800000000000000000e+01,3.866666666666666696e+00
6.500000000000000222e-01,6.192579056900664874e-02,1.192099109408428226e-01,6.185600000000000000e+04,5.000000000000000104e-03,1.800000000000000000e+01,5.400000000000000000e+01,3.000000000000000000e+00
6.500000000000000222e-01,4.639358408202629014e-02,1.011990646300811036e-01,4.095100000000000000e+04,2.999999999999999889e-02,1.700000000000000000e+01,5.900000000000000000e+01,3.470588235294117752e+00
6.800000000000000488e-01,4.817014364753058331e-02,1.038360117418777040e-01,4.187000000000000000e+04,2.000000000000000042e-02,1.600000000000000000e+01,5.000000000000000000e+01,3.125000000000000000e+00
6.199999999999999956e-01,4.542916603218110499e-02,1.030399522364296716e-01,4.571900000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,7.400000000000000000e+01,4.625000000000000000e+00
6.899999999999999467e-01,4.263742957210293893e-02,9.881088611373700648e-02,3.408100000000000000e+04,5.000000000000000278e-02,1.600000000000000000e+01,6.000000000000000000e+01,3.750000000000000000e+00
6.700000000000000400e-01,8.608700065986497896e-02,1.506542614060401020e-01,1.320150000000000000e+05,1.499999999999999944e-02,2.300000000000000000e+01,4.000000000000000000e+01,1.739130434782608647e+00
6.600000000000000311e-01,5.451499923861732877e-02,1.075177869545748538e-01,4.853900000000000000e+04,1.499999999999999944e-02,1.600000000000000000e+01,4.500000000000000000e+01,2.812500000000000000e+00
6.700000000000000400e-01,4.339881224303334534e-02,1.017961092591671279e-01,4.367800000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,5.800000000000000000e+01,3.411764705882352811e+00
6.700000000000000400e-01,4.197756459062991496e-02,9.796507288919846512e-02,3.775700000000000000e+04,1.000000000000000021e-02,1.600000000000000000e+01,6.400000000000000000e+01,4.000000000000000000e+00
6.700000000000000400e-01,4.045479924876909522e-02,9.836310264192248132e-02,3.555600000000000000e+04,1.499999999999999944e-02,1.500000000000000000e+01,5.800000000000000000e+01,3.866666666666666696e+00
6.700000000000000400e-01,5.050505050505050414e-02,1.063236976964028052e-01,4.953000000000000000e+04,2.999999999999999889e-02,1.600000000000000000e+01,5.400000000000000000e+01,3.375000000000000000e+00
6.800000000000000488e-01,3.908431044109435953e-02,9.582566296830688501e-02,3.662200000000000000e+04,2.500000000000000139e-02,1.500000000000000000e+01,7.500000000000000000e+01,5.000000000000000000e+00
6.700000000000000400e-01,4.314501801938987885e-02,9.970645305736604291e-02,3.361900000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,6.700000000000000000e+01,3.941176470588235503e+00
