Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.850000000000000533e-01,2.545307993602095864e-02,6.012543797304206045e-02,1.624670000000000000e+05,2.750000000000000014e-02,2.100000000000000000e+01,1.030000000000000000e+02,4.904761904761905100e+00
6.450000000000000178e-01,4.167453810405410269e-02,7.769423558897242676e-02,4.737800000000000000e+05,2.000000000000000042e-02,2.400000000000000000e+01,7.800000000000000000e+01,3.250000000000000000e+00
6.400000000000000133e-01,1.702749335650684606e-02,5.369144253668998307e-02,1.144590000000000000e+05,2.249999999999999917e-02,1.700000000000000000e+01,1.290000000000000000e+02,7.588235294117646745e+00
6.500000000000000222e-01,2.474779914610647155e-02,6.030000374069502400e-02,1.732920000000000000e+05,2.000000000000000042e-02,1.800000000000000000e+01,1.330000000000000000e+02,7.388888888888889284e+00
6.550000000000000266e-01,2.153625269203158707e-02,5.699572313869250006e-02,1.314990000000000000e+05,1.499999999999999944e-02,1.900000000000000000e+01,1.080000000000000000e+02,5.684210526315789380e+00
6.700000000000000400e-01,1.740532235110388987e-02,5.278120674821382141e-02,1.123800000000000000e+05,2.000000000000000042e-02,1.800000000000000000e+01,1.280000000000000000e+02,7.111111111111110716e+00
6.550000000000000266e-01,2.546567423584085790e-02,5.916532625095075743e-02,1.872660000000000000e+05,2.500000000000000139e-02,2.200000000000000000e+01,1.000000000000000000e+02,4.545454545454545858e+00
6.400000000000000133e-01,2.101988639941562362e-02,5.702066110550006728e-02,1.446580000000000000e+05,2.500000000000000052e-03,1.800000000000000000e+01,9.500000000000000000e+01,5.277777777777777679e+00
6.600000000000000311e-01,2.323648316771828939e-02,5.765657925909300346e-02,1.376120000000000000e+05,1.250000000000000069e-02,1.900000000000000000e+01,9.700000000000000000e+01,5.105263157894737169e+00
6.550000000000000266e-01,2.181332728806941942e-02,5.756929637526652516e-02,1.330120000000000000e+05,2.000000000000000042e-02,1.900000000000000000e+01,1.020000000000000000e+02,5.368421052631578760e+00
6.550000000000000266e-01,1.569249757559728481e-02,5.300564844948191245e-02,1.081070000000000000e+05,2.000000000000000042e-02,1.700000000000000000e+01,1.370000000000000000e+02,8.058823529411764497e+00
