# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.723646723646723444e-01,7.913221449038067290e-02,1.152246054229057043e-01,4.557620000000000000e+05,3.276353276353276556e-01,3.300000000000000000e+01,5.600000000000000000e+01,1.696969696969697017e+00
6.495726495726495964e-01,9.339336880884158143e-02,1.282881424524484060e-01,5.104390000000000000e+05,3.504273504273504036e-01,4.000000000000000000e+01,5.200000000000000000e+01,1.300000000000000044e+00
6.837606837606837740e-01,9.607859189521081311e-02,1.315256980979360446e-01,5.955530000000000000e+05,3.105413105413105668e-01,3.800000000000000000e+01,4.800000000000000000e+01,1.263157894736842035e+00
6.609686609686609149e-01,8.058943921408104338e-02,1.170538243626062375e-01,4.509550000000000000e+05,3.390313390313390296e-01,3.600000000000000000e+01,5.400000000000000000e+01,1.500000000000000000e+00
6.666666666666666297e-01,8.183381088825214533e-02,1.183164710643464235e-01,4.674840000000000000e+05,3.333333333333333148e-01,3.400000000000000000e+01,4.600000000000000000e+01,1.352941176470588314e+00
6.666666666666666297e-01,7.980352026197298776e-02,1.162444354512343209e-01,4.512410000000000000e+05,3.333333333333333148e-01,3.600000000000000000e+01,4.800000000000000000e+01,1.333333333333333259e+00
6.723646723646723444e-01,8.311092918542775654e-02,1.191906110886280790e-01,4.633900000000000000e+05,3.276353276353276556e-01,3.700000000000000000e+01,4.600000000000000000e+01,1.243243243243243201e+00
6.780626780626780592e-01,8.728612361850184020e-02,1.228976123027114564e-01,4.923160000000000000e+05,3.219373219373219408e-01,3.600000000000000000e+01,5.000000000000000000e+01,1.388888888888888840e+00
6.552706552706553111e-01,9.277118297175604433e-02,1.276406313233508782e-01,4.944730000000000000e+05,3.447293447293447444e-01,4.100000000000000000e+01,4.200000000000000000e+01,1.024390243902439046e+00
6.951566951566952035e-01,7.792058943921408021e-02,1.141885876163496599e-01,4.526700000000000000e+05,3.048433048433048520e-01,3.300000000000000000e+01,6.000000000000000000e+01,1.818181818181818121e+00
6.780626780626780592e-01,9.033155955792059044e-02,1.260380412788344728e-01,5.027190000000000000e+05,3.219373219373219408e-01,3.800000000000000000e+01,4.400000000000000000e+01,1.157894736842105310e+00
6.723646723646723444e-01,7.589029881293492263e-02,1.127640631323350850e-01,4.404780000000000000e+05,3.276353276353276556e-01,3.400000000000000000e+01,4.800000000000000000e+01,1.411764705882353033e+00
6.780626780626780592e-01,8.553417928776095580e-02,1.212626467017401816e-01,4.867150000000000000e+05,3.219373219373219408e-01,3.700000000000000000e+01,4.600000000000000000e+01,1.243243243243243201e+00
6.495726495726495964e-01,7.991813344248874240e-02,1.159044921084581153e-01,4.410660000000000000e+05,3.504273504273504036e-01,3.500000000000000000e+01,4.600000000000000000e+01,1.314285714285714279e+00
6.951566951566952035e-01,8.975849365534178947e-02,1.250829623634156229e-01,4.938170000000000000e+05,3.048433048433048520e-01,3.700000000000000000e+01,4.400000000000000000e+01,1.189189189189189255e+00
6.780626780626780592e-01,8.800654932460090507e-02,1.238688789963577480e-01,4.929320000000000000e+05,3.219373219373219408e-01,3.700000000000000000e+01,4.800000000000000000e+01,1.297297297297297369e+00
6.324786324786324521e-01,9.681539091281211873e-02,1.328692836908134389e-01,6.110120000000000000e+05,3.618233618233618332e-01,3.700000000000000000e+01,7.000000000000000000e+01,1.891891891891891886e+00
6.495726495726495964e-01,8.553417928776095580e-02,1.211007689194658066e-01,4.650760000000000000e+05,3.504273504273504036e-01,3.900000000000000000e+01,4.000000000000000000e+01,1.025641025641025550e+00
