# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.298932384341636714e-01,1.137891520244461441e-01,1.343219428325811426e-01,3.323170000000000000e+06,3.701067615658362731e-01,6.300000000000000000e+01,5.200000000000000000e+01,8.253968253968253510e-01
6.441281138790035943e-01,1.147695441813088857e-01,1.355229390273195167e-01,3.424568000000000000e+06,3.558718861209964612e-01,6.200000000000000000e+01,5.200000000000000000e+01,8.387096774193548709e-01
6.583629893238434061e-01,1.096384008148714034e-01,1.303902605529639325e-01,3.224839000000000000e+06,3.416370106761565939e-01,6.200000000000000000e+01,4.400000000000000000e+01,7.096774193548387455e-01
6.548042704626334531e-01,1.121785077667430547e-01,1.329755628879533691e-01,3.329078000000000000e+06,3.451957295373665469e-01,6.100000000000000000e+01,5.800000000000000000e+01,9.508196721311474864e-01
6.548042704626334531e-01,1.152597402597402565e-01,1.358200275597021556e-01,3.452323000000000000e+06,3.451957295373665469e-01,6.400000000000000000e+01,5.400000000000000000e+01,8.437500000000000000e-01
6.583629893238434061e-01,1.161128087598675834e-01,1.365026990809218577e-01,3.401360000000000000e+06,3.416370106761565939e-01,6.700000000000000000e+01,4.800000000000000000e+01,7.164179104477611526e-01
6.583629893238434061e-01,1.099376114081996453e-01,1.307379173461776789e-01,3.281873000000000000e+06,3.416370106761565939e-01,6.300000000000000000e+01,5.600000000000000000e+01,8.888888888888888395e-01
6.441281138790035943e-01,1.154698242933537011e-01,1.361297581572925852e-01,3.431068000000000000e+06,3.558718861209964612e-01,6.300000000000000000e+01,5.200000000000000000e+01,8.253968253968253510e-01
6.512455516014235002e-01,1.153361344537815192e-01,1.360475847334420563e-01,3.393889000000000000e+06,3.487544483985764998e-01,6.600000000000000000e+01,4.000000000000000000e+01,6.060606060606060774e-01
6.334519572953736244e-01,1.200471097529921122e-01,1.405860861430323350e-01,3.559474000000000000e+06,3.665480427046263201e-01,6.500000000000000000e+01,5.400000000000000000e+01,8.307692307692308153e-01
6.441281138790035943e-01,1.126241405653170408e-01,1.333042565833554571e-01,3.344704000000000000e+06,3.558718861209964612e-01,6.200000000000000000e+01,5.000000000000000000e+01,8.064516129032257563e-01
6.583629893238434061e-01,1.114272981920040734e-01,1.322043969102792704e-01,3.326865000000000000e+06,3.416370106761565939e-01,6.200000000000000000e+01,5.400000000000000000e+01,8.709677419354838745e-01
6.654804270462633120e-01,1.073211102622867313e-01,1.281399729459804515e-01,3.153000000000000000e+06,3.345195729537366325e-01,6.300000000000000000e+01,4.600000000000000000e+01,7.301587301587301182e-01
6.334519572953736244e-01,1.141074611662847016e-01,1.347644151148531533e-01,3.335792000000000000e+06,3.665480427046263201e-01,6.300000000000000000e+01,6.000000000000000000e+01,9.523809523809523281e-01
6.512455516014235002e-01,1.174497071555895139e-01,1.380323889710623197e-01,3.519879000000000000e+06,3.487544483985764998e-01,6.500000000000000000e+01,5.400000000000000000e+01,8.307692307692308153e-01
6.405693950177936413e-01,1.153870639164756851e-01,1.362245736463508772e-01,3.364868000000000000e+06,3.594306049822064142e-01,6.600000000000000000e+01,4.200000000000000000e+01,6.363636363636363535e-01
6.583629893238434061e-01,1.143175451998981462e-01,1.351373560384824535e-01,3.370440000000000000e+06,3.416370106761565939e-01,6.200000000000000000e+01,5.800000000000000000e+01,9.354838709677418818e-01
6.583629893238434061e-01,1.166793990323402030e-01,1.372296178303687719e-01,3.472944000000000000e+06,3.416370106761565939e-01,6.300000000000000000e+01,6.000000000000000000e+01,9.523809523809523281e-01
