# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.581352833638025590e-01,1.748832207547803760e-02,4.400274892078170907e-02,2.562610000000000000e+05,3.418647166361974410e-01,2.000000000000000000e+01,1.350000000000000000e+02,6.750000000000000000e+00
6.546112115732368730e-01,2.082511375891001743e-02,4.618749183966575078e-02,3.496310000000000000e+05,3.490054249547920318e-01,2.200000000000000000e+01,1.270000000000000000e+02,5.772727272727272485e+00
6.666666666666666297e-01,1.967719395105287095e-02,4.893698934850494037e-02,2.133050000000000000e+05,3.374741200828157428e-01,2.100000000000000000e+01,1.140000000000000000e+02,5.428571428571428825e+00
6.575809199318568554e-01,1.611971646101338987e-02,4.063113856423509335e-02,2.992750000000000000e+05,3.424190800681430891e-01,1.800000000000000000e+01,1.720000000000000000e+02,9.555555555555555358e+00
6.680327868852459217e-01,2.163240128104376367e-02,5.119222226878430981e-02,2.573840000000000000e+05,3.442622950819672067e-01,2.200000000000000000e+01,1.260000000000000000e+02,5.727272727272727515e+00
6.715063520871142888e-01,1.799635701275045449e-02,4.350484958079894882e-02,2.890800000000000000e+05,3.321234119782214278e-01,1.800000000000000000e+01,1.430000000000000000e+02,7.944444444444444642e+00
6.555555555555555580e-01,1.624238745853190738e-02,4.260315330426031610e-02,2.143310000000000000e+05,3.518518518518518601e-01,1.700000000000000000e+01,1.460000000000000000e+02,8.588235294117646745e+00
6.748971193415638226e-01,2.679560364658771510e-02,5.322798715565320304e-02,2.838720000000000000e+05,3.292181069958847739e-01,2.300000000000000000e+01,1.080000000000000000e+02,4.695652173913043903e+00
6.442307692307692735e-01,1.541137427549508880e-02,3.840019692408679075e-02,3.221500000000000000e+05,3.621794871794871695e-01,1.900000000000000000e+01,1.790000000000000000e+02,9.421052631578946901e+00
6.750448833034111695e-01,1.300149069933242627e-02,3.974208826141233802e-02,2.089010000000000000e+05,3.321364452423698488e-01,1.600000000000000000e+01,1.780000000000000000e+02,1.112500000000000000e+01
6.897880539499036123e-01,1.678827210742104420e-02,4.484989513780300585e-02,2.313370000000000000e+05,3.217726396917148235e-01,1.900000000000000000e+01,1.560000000000000000e+02,8.210526315789474339e+00
6.812386156648452262e-01,1.913556359172126700e-02,4.549127664366049706e-02,2.784000000000000000e+05,3.296903460837887212e-01,1.900000000000000000e+01,1.530000000000000000e+02,8.052631578947368141e+00
6.331471135940409667e-01,1.714325568419584195e-02,4.440229280314568483e-02,2.663230000000000000e+05,3.668528864059590333e-01,1.900000000000000000e+01,1.360000000000000000e+02,7.157894736842105310e+00
6.859205776173284974e-01,1.548208716618182726e-02,4.241091755890043918e-02,2.583720000000000000e+05,3.140794223826715026e-01,1.700000000000000000e+01,1.480000000000000000e+02,8.705882352941175739e+00
6.712328767123287854e-01,1.439408675354989300e-02,4.066292391361616548e-02,3.104480000000000000e+05,3.287671232876712146e-01,2.000000000000000000e+01,1.730000000000000000e+02,8.650000000000000355e+00
6.551724137931034253e-01,2.021260888823268875e-02,4.637294691652869838e-02,2.637470000000000000e+05,3.601532567049808287e-01,1.900000000000000000e+01,1.430000000000000000e+02,7.526315789473684070e+00
6.577437858508604629e-01,1.722299438892198331e-02,4.442984856777960206e-02,1.975550000000000000e+05,3.422562141491395926e-01,1.900000000000000000e+01,1.480000000000000000e+02,7.789473684210526550e+00
6.404494382022472010e-01,1.744981590937945068e-02,4.340399316737139634e-02,2.259490000000000000e+05,3.595505617977527990e-01,1.900000000000000000e+01,1.240000000000000000e+02,6.526315789473684070e+00
6.602564102564102422e-01,1.444622792937399688e-02,3.807711834419663655e-02,3.069190000000000000e+05,3.429487179487179516e-01,2.100000000000000000e+01,1.690000000000000000e+02,8.047619047619047450e+00
6.764705882352941568e-01,2.035087719298245626e-02,4.952213168905527513e-02,1.879610000000000000e+05,3.319327731092436840e-01,2.000000000000000000e+01,1.340000000000000000e+02,6.700000000000000178e+00
6.759581881533101022e-01,1.666483603656378557e-02,4.074558852045762763e-02,2.522090000000000000e+05,3.310104529616724744e-01,1.800000000000000000e+01,1.510000000000000000e+02,8.388888888888889284e+00
6.642201834862385690e-01,1.938441122305275752e-02,4.594580062372297796e-02,3.055620000000000000e+05,3.357798165137614865e-01,2.300000000000000000e+01,1.380000000000000000e+02,6.000000000000000000e+00
6.855345911949685123e-01,1.773019697458953423e-02,4.026855577222126364e-02,3.887820000000000000e+05,3.144654088050314322e-01,2.200000000000000000e+01,1.440000000000000000e+02,6.545454545454545858e+00
6.153846153846154188e-01,1.541282584993557310e-02,4.229498981097604138e-02,2.021730000000000000e+05,3.846153846153846367e-01,1.800000000000000000e+01,1.500000000000000000e+02,8.333333333333333925e+00
6.783216783216783341e-01,1.912925922512059493e-02,4.292243572923595124e-02,3.100030000000000000e+05,3.286713286713286442e-01,2.300000000000000000e+01,1.270000000000000000e+02,5.521739130434782261e+00
6.666666666666666297e-01,2.013268465280849268e-02,4.920089121243487185e-02,1.751610000000000000e+05,3.333333333333333148e-01,2.100000000000000000e+01,1.280000000000000000e+02,6.095238095238094900e+00
6.584070796460177455e-01,1.635110791983170053e-02,4.145871639961474370e-02,2.765600000000000000e+05,3.486725663716814250e-01,1.700000000000000000e+01,1.620000000000000000e+02,9.529411764705882248e+00
7.124773960216997937e-01,1.835924143191561969e-02,4.347173260216738444e-02,2.349010000000000000e+05,2.875226039783002063e-01,1.900000000000000000e+01,1.500000000000000000e+02,7.894736842105262831e+00
