# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.509090909090908816e-01,1.909909191230239542e-02,4.509516644227976739e-02,3.140380000000000000e+05,3.745454545454545703e-01,2.000000000000000000e+01,1.460000000000000000e+02,7.299999999999999822e+00
7.090909090909091050e-01,1.727095050057835673e-02,4.569573136928803403e-02,3.958860000000000000e+05,3.236363636363636109e-01,2.000000000000000000e+01,1.480000000000000000e+02,7.400000000000000355e+00
6.618181818181818610e-01,1.847419993884035980e-02,4.763601805654549964e-02,3.901650000000000000e+05,3.854545454545454386e-01,2.000000000000000000e+01,1.280000000000000000e+02,6.400000000000000355e+00
6.400000000000000133e-01,1.961761929453684911e-02,4.855996409809667375e-02,5.267500000000000000e+05,3.709090909090909105e-01,2.100000000000000000e+01,1.640000000000000000e+02,7.809523809523809312e+00
6.836363636363635976e-01,1.754350976559903089e-02,4.626329822338375725e-02,3.260380000000000000e+05,3.781818181818181746e-01,2.000000000000000000e+01,1.950000000000000000e+02,9.750000000000000000e+00
6.654545454545454097e-01,2.649807878957095159e-02,5.009767429582112630e-02,5.355240000000000000e+05,3.490909090909091184e-01,2.200000000000000000e+01,1.260000000000000000e+02,5.727272727272727515e+00
6.545454545454545414e-01,1.614082671878531647e-02,4.401282965074839598e-02,2.558390000000000000e+05,4.145454545454545503e-01,2.000000000000000000e+01,1.650000000000000000e+02,8.250000000000000000e+00
6.654545454545454097e-01,2.459016393442622905e-02,5.066524114991684258e-02,6.221250000000000000e+05,3.454545454545454586e-01,2.500000000000000000e+01,1.130000000000000000e+02,4.519999999999999574e+00
6.581818181818182012e-01,1.662611516626115102e-02,4.790000263984583312e-02,3.084200000000000000e+05,3.781818181818181746e-01,2.000000000000000000e+01,1.470000000000000000e+02,7.349999999999999645e+00
6.690909090909090695e-01,1.522343211944743660e-02,4.397983157783585256e-02,2.688970000000000000e+05,3.527272727272727226e-01,2.000000000000000000e+01,1.610000000000000000e+02,8.050000000000000711e+00
6.545454545454545414e-01,1.718452927020594836e-02,4.551754177556030512e-02,2.835080000000000000e+05,3.818181818181818343e-01,2.100000000000000000e+01,1.340000000000000000e+02,6.380952380952381375e+00
6.909090909090909172e-01,1.731748500924042491e-02,4.854676486893165499e-02,4.146490000000000000e+05,3.672727272727272507e-01,1.900000000000000000e+01,1.610000000000000000e+02,8.473684210526315042e+00
6.763636363636363891e-01,1.789584247404039236e-02,4.241572292178136944e-02,2.803290000000000000e+05,3.454545454545454586e-01,2.000000000000000000e+01,1.400000000000000000e+02,7.000000000000000000e+00
6.690909090909090695e-01,1.838113092151622691e-02,4.729943771283757342e-02,3.149900000000000000e+05,4.000000000000000222e-01,2.200000000000000000e+01,1.480000000000000000e+02,6.727272727272727515e+00
6.690909090909090695e-01,1.785595575233004870e-02,4.394023389034080324e-02,2.638550000000000000e+05,3.599999999999999867e-01,2.200000000000000000e+01,1.510000000000000000e+02,6.863636363636363313e+00
6.945454545454545769e-01,1.838113092151622691e-02,4.593991710884084284e-02,3.233250000000000000e+05,3.563636363636363824e-01,2.200000000000000000e+01,1.340000000000000000e+02,6.090909090909090828e+00
6.654545454545454097e-01,2.312765080504700088e-02,5.124600723317758455e-02,4.482700000000000000e+05,4.072727272727272863e-01,2.700000000000000000e+01,1.080000000000000000e+02,4.000000000000000000e+00
6.690909090909090695e-01,2.183798013641258945e-02,5.675668540957207880e-02,8.616310000000000000e+05,3.781818181818181746e-01,2.400000000000000000e+01,1.510000000000000000e+02,6.291666666666666963e+00
6.800000000000000488e-01,1.935835560341962053e-02,4.693645891079960969e-02,4.252240000000000000e+05,3.381818181818181945e-01,2.200000000000000000e+01,1.320000000000000000e+02,6.000000000000000000e+00
6.690909090909090695e-01,2.305452514857803809e-02,4.761621921279797498e-02,4.335300000000000000e+05,3.563636363636363824e-01,2.200000000000000000e+01,1.370000000000000000e+02,6.227272727272727515e+00
6.581818181818182012e-01,1.594139311023360164e-02,4.351785855706026551e-02,2.465720000000000000e+05,3.854545454545454386e-01,2.100000000000000000e+01,1.650000000000000000e+02,7.857142857142856762e+00
6.909090909090909172e-01,2.155877308444019078e-02,4.833557720229138960e-02,4.798350000000000000e+05,3.454545454545454586e-01,2.300000000000000000e+01,1.280000000000000000e+02,5.565217391304347672e+00
6.400000000000000133e-01,2.569369656841237470e-02,5.219635173305878922e-02,5.579760000000000000e+05,3.818181818181818343e-01,2.400000000000000000e+01,9.700000000000000000e+01,4.041666666666666963e+00
6.872727272727272574e-01,2.166513767566776924e-02,4.867215754599931582e-02,5.406370000000000000e+05,3.381818181818181945e-01,2.100000000000000000e+01,1.380000000000000000e+02,6.571428571428571175e+00
6.690909090909090695e-01,1.640673819685426610e-02,4.223093371347113462e-02,2.534230000000000000e+05,3.527272727272727226e-01,1.800000000000000000e+01,1.510000000000000000e+02,8.388888888888889284e+00
6.872727272727272574e-01,1.677901426615079766e-02,4.516116258810485423e-02,2.763390000000000000e+05,3.636363636363636465e-01,2.200000000000000000e+01,1.540000000000000000e+02,7.000000000000000000e+00
6.727272727272727293e-01,1.843431321713001614e-02,4.526675642142499040e-02,2.548610000000000000e+05,4.036363636363636265e-01,2.000000000000000000e+01,1.460000000000000000e+02,7.299999999999999822e+00
6.581818181818182012e-01,1.588156302766808789e-02,4.499617222354214408e-02,3.182620000000000000e+05,3.672727272727272507e-01,2.200000000000000000e+01,1.710000000000000000e+02,7.772727272727272485e+00
6.472727272727272219e-01,1.802215042612314438e-02,4.559013753596789786e-02,2.834740000000000000e+05,4.145454545454545503e-01,1.900000000000000000e+01,1.610000000000000000e+02,8.473684210526315042e+00
6.872727272727272574e-01,1.969739273795753295e-02,4.590031942134579351e-02,3.284270000000000000e+05,3.345454545454545348e-01,2.000000000000000000e+01,1.540000000000000000e+02,7.700000000000000178e+00
