# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.371681415929203451e-01,3.032324899478517494e-02,7.065886966631383659e-02,1.784700000000000000e+05,3.628318584070796549e-01,2.000000000000000000e+01,8.400000000000000000e+01,4.200000000000000178e+00
7.028423772609818654e-01,2.538187201399636633e-02,6.157678117133076612e-02,1.985290000000000000e+05,2.971576227390180791e-01,2.000000000000000000e+01,9.400000000000000000e+01,4.700000000000000178e+00
6.583072100313479558e-01,2.491915163779933814e-02,6.387272477909050616e-02,6.461700000000000000e+04,3.416927899686520442e-01,1.700000000000000000e+01,9.600000000000000000e+01,5.647058823529412130e+00
6.578073089700996467e-01,2.905239687848383545e-02,7.441144114411440968e-02,1.134170000000000000e+05,3.421926910299003533e-01,1.700000000000000000e+01,8.800000000000000000e+01,5.176470588235294379e+00
6.515580736543908902e-01,3.221315721315721331e-02,6.530089628681177982e-02,1.710410000000000000e+05,3.484419263456090543e-01,1.700000000000000000e+01,9.000000000000000000e+01,5.294117647058823373e+00
6.563467492260062208e-01,2.846307153499351775e-02,6.648829431438127435e-02,8.459300000000000000e+04,3.436532507739938347e-01,1.700000000000000000e+01,7.400000000000000000e+01,4.352941176470587870e+00
6.723163841807909824e-01,2.776525882049961369e-02,6.685870706942101394e-02,1.750820000000000000e+05,3.276836158192090176e-01,2.000000000000000000e+01,8.800000000000000000e+01,4.400000000000000355e+00
6.873385012919897008e-01,2.462822151941322993e-02,6.173661707313824604e-02,1.951560000000000000e+05,3.126614987080103547e-01,1.900000000000000000e+01,1.060000000000000000e+02,5.578947368421052211e+00
6.624203821656050595e-01,3.465224870975669447e-02,7.728394063169814754e-02,1.831620000000000000e+05,3.375796178343948850e-01,1.700000000000000000e+01,9.600000000000000000e+01,5.647058823529412130e+00
6.507462686567163646e-01,2.240563917210623701e-02,5.988023952095808400e-02,7.392700000000000000e+04,3.492537313432835799e-01,1.600000000000000000e+01,9.400000000000000000e+01,5.875000000000000000e+00
6.513994910941476313e-01,2.693251213528889687e-02,5.856367863601136953e-02,1.713850000000000000e+05,3.486005089058524242e-01,1.700000000000000000e+01,1.140000000000000000e+02,6.705882352941176627e+00
6.537396121883656264e-01,2.318167749922624490e-02,5.742271196816651352e-02,1.034680000000000000e+05,3.462603878116343736e-01,1.700000000000000000e+01,9.400000000000000000e+01,5.529411764705882248e+00
6.842105263157894912e-01,3.175748038379996863e-02,6.999719579801116920e-02,7.906700000000000000e+04,3.157894736842105088e-01,1.700000000000000000e+01,9.000000000000000000e+01,5.294117647058823373e+00
6.430678466076695798e-01,3.283409126823872565e-02,7.341789723923719535e-02,2.167620000000000000e+05,3.569321533923303646e-01,2.000000000000000000e+01,8.000000000000000000e+01,4.000000000000000000e+00
6.732026143790850181e-01,3.207506471095772360e-02,7.521822439855226083e-02,1.310510000000000000e+05,3.267973856209150374e-01,1.900000000000000000e+01,8.600000000000000000e+01,4.526315789473684070e+00
6.855670103092783574e-01,1.790041638216116962e-02,5.195786126018683837e-02,8.895800000000000000e+04,3.144329896907216426e-01,1.800000000000000000e+01,1.360000000000000000e+02,7.555555555555555358e+00
6.816901408450704025e-01,2.571981882492277785e-02,6.024782794473721587e-02,1.228960000000000000e+05,3.183098591549295975e-01,1.600000000000000000e+01,9.800000000000000000e+01,6.125000000000000000e+00
6.931818181818182323e-01,2.638990638990638959e-02,6.069824713892510437e-02,1.071120000000000000e+05,3.068181818181818232e-01,1.800000000000000000e+01,9.400000000000000000e+01,5.222222222222222321e+00
6.985074626865671599e-01,2.744061426696157296e-02,6.874677943815632464e-02,1.506260000000000000e+05,3.014925373134328401e-01,1.900000000000000000e+01,9.000000000000000000e+01,4.736842105263157521e+00
6.666666666666666297e-01,2.646051017386522389e-02,6.595815759802897693e-02,6.729800000000000000e+04,3.333333333333333148e-01,1.500000000000000000e+01,1.000000000000000000e+02,6.666666666666666963e+00
6.999999999999999556e-01,2.692968128324328692e-02,6.413957921783695892e-02,2.406210000000000000e+05,2.999999999999999889e-01,1.800000000000000000e+01,9.600000000000000000e+01,5.333333333333333037e+00
6.876790830945558319e-01,2.656596773659280000e-02,6.110619903723352175e-02,9.437500000000000000e+04,3.123209169054441126e-01,1.700000000000000000e+01,9.000000000000000000e+01,5.294117647058823373e+00
6.462395543175487589e-01,2.244026102060936098e-02,5.766105944072177220e-02,8.300100000000000000e+04,3.537604456824512411e-01,1.600000000000000000e+01,1.040000000000000000e+02,6.500000000000000000e+00
6.468646864686468101e-01,3.491672350443334599e-02,7.903593529475627655e-02,1.400290000000000000e+05,3.531353135313531344e-01,1.700000000000000000e+01,8.000000000000000000e+01,4.705882352941176627e+00
6.612021857923496837e-01,1.875658587987355172e-02,5.958904109589040904e-02,1.605080000000000000e+05,3.387978142076502608e-01,1.600000000000000000e+01,1.320000000000000000e+02,8.250000000000000000e+00
6.329787234042553168e-01,3.442424242424242664e-02,6.462081128747795833e-02,2.233330000000000000e+05,3.670212765957446832e-01,2.200000000000000000e+01,9.600000000000000000e+01,4.363636363636363313e+00
6.612903225806451291e-01,2.420048080425438869e-02,6.150453320264641366e-02,1.852090000000000000e+05,3.387096774193548154e-01,1.900000000000000000e+01,1.160000000000000000e+02,6.105263157894737169e+00
6.304347826086956763e-01,2.471672548056163404e-02,5.850209882907430464e-02,1.470100000000000000e+05,3.695652173913043237e-01,1.600000000000000000e+01,1.020000000000000000e+02,6.375000000000000000e+00
6.309523809523809312e-01,2.329073196889802633e-02,6.007241897023756633e-02,7.231200000000000000e+04,3.690476190476190688e-01,1.600000000000000000e+01,1.000000000000000000e+02,6.250000000000000000e+00
7.260726072607260884e-01,3.007634595498448818e-02,6.880903267831940673e-02,7.546100000000000000e+04,2.739273927392739116e-01,1.600000000000000000e+01,9.000000000000000000e+01,5.625000000000000000e+00
6.730769230769231282e-01,2.999688828959651624e-02,6.910111208962255169e-02,1.138700000000000000e+05,3.269230769230769273e-01,1.700000000000000000e+01,8.400000000000000000e+01,4.941176470588235503e+00
6.704871060171919694e-01,2.580410083142866545e-02,6.113894619641745826e-02,9.365200000000000000e+04,3.295128939828080306e-01,2.000000000000000000e+01,9.000000000000000000e+01,4.500000000000000000e+00
6.564885496183205937e-01,1.747220627381387489e-02,5.131748902092482523e-02,9.342800000000000000e+04,3.435114503816794063e-01,1.500000000000000000e+01,1.240000000000000000e+02,8.266666666666667496e+00
